type,id,OBJECTID,FID_1,assessorid,PropertyLo,ZONE_CODE,ACRES,EQUIV_ZONE,Equiv_Dens,Shape__Area,Shape__Length,Pref_Dens,Pref_CapFull,Permitted_,SB899_Cate,SB899_Den,Shape__Area_1,Shape__Length_1,DevelopableArea,Ht_Stories,FuncDenLim,MaxDenByHt,Pref_LikelyMax,SDBL_Dens,Curr_Max_Ht,geometry
Feature,1,1,20700,5743-027-020,2498 CASA GRANDE ST  PASADENA CA  91104, RS-6,0.7144529799999999, RS-6,6,4233.792968750001,309.31823505999995,32,22,6, ,99,4233.792968750001,309.31823505999995,0.71448977,2.5,70,50,22,10,,"{""type"":""Polygon"",""coordinates"":[[[-118.098543714273,34.16390873240891],[-118.09897233283397,34.16390983843491],[-118.09962851621701,34.1639114982171],[-118.09962449715401,34.1641725496695],[-118.09858980593201,34.1641698522529],[-118.09858133661498,34.164169229372],[-118.09857311972499,34.16416741201629],[-118.09856539780701,34.16416445370309],[-118.09855839723599,34.1641604421411],[-118.09855232372598,34.1641554955139],[-118.09854735783999,34.164149758020706],[-118.09854364420401,34.16414339987581],[-118.09854129241499,34.16413660764609],[-118.098540371642,34.1641295812779],[-118.098543714273,34.16390873240891]]]}"
Feature,2,2,5760,5723-002-040,140 CHESTNUT ST  PASADENA CA  91103,CD-1,2.4994199299999993,CD-1,87,14806.390624999998,564.70745306,130,324,87,COMM,60,14806.390624999998,564.70745306,2.4995269199999997,6.5,175,437,324,156,,"{""type"":""Polygon"",""coordinates"":[[[-118.14717991141501,34.149966621880495],[-118.14728937742099,34.149965966184205],[-118.147398511948,34.149965173698796],[-118.14761661571202,34.14996356122119],[-118.14783475271399,34.1499619755068],[-118.147830500988,34.1496322362124],[-118.147830584531,34.14960475707439],[-118.148266857637,34.1496019974883],[-118.14851474055399,34.149600401359194],[-118.148762655809,34.14959883273671],[-118.14878876624098,34.14959866323619],[-118.14879450467899,34.149599046099105],[-118.14880007692898,34.149600250444294],[-118.14880531320898,34.1496022398442],[-118.148810054517,34.1496049548249],[-118.14881415802098,34.14960831212291],[-118.148817498855,34.1496122106325],[-118.14881997461201,34.149616531406195],[-118.14882151252797,34.1496211443448],[-118.14882206409399,34.1496259089415],[-118.148825955596,34.14995523640611],[-118.14883043818898,34.150337872257],[-118.14877094636098,34.150338522746395],[-118.14852306344501,34.150341217631194],[-118.14827514818899,34.15034391251581],[-118.14718442994102,34.1503553023984],[-118.14717991141501,34.149966621880495]]]}"
Feature,3,3,39447,5738-006-001,997 E WALNUT ST  PASADENA CA  91106,CD-1 AD-1,1.01125002,CD-1 AD-1,60,5990.613281250001,365.29020414999997,90,91,60, ,100,3360.26171875,315.78910419999994,0.5672584,6.5,175,99,91,108,,"{""type"":""Polygon"",""coordinates"":[[[-118.12974521164998,34.1501179084106],[-118.12954611084699,34.15011894622271],[-118.12954555119599,34.150013840917104],[-118.12954544429701,34.1500090324806],[-118.12954120694398,34.1497484561478],[-118.129541745035,34.149741992095905],[-118.129543495851,34.14973567895831],[-118.129546415376,34.149729671366586],[-118.129550431743,34.1497241180051],[-118.12955544524101,34.149719157150706],[-118.12956133100299,34.149714911467804],[-118.129567945298,34.14971148429239],[-118.12957512463397,34.1497089618615],[-118.12958268934702,34.14970740662259],[-118.12959045438399,34.14970685574679],[-118.130136260869,34.149703604018804],[-118.13013623931,34.1497111884105],[-118.13013747449298,34.14988911141339],[-118.13030600293199,34.1498880230459],[-118.13030758845898,34.150162973680594],[-118.13030832956898,34.150299514187296],[-118.13030966895701,34.1504377583819],[-118.130142759282,34.15043868021729],[-118.12994445079299,34.1504397180255],[-118.12994355247798,34.150116843835406],[-118.12974521164998,34.1501179084106]]]}"
Feature,4,4,37461,5723-017-039,132 N EUCLID AVE  PASADENA CA  91101,CD-2,1.96045995,CD-2,87,11613.132812500002,488.09084342,130,254,87,COMM,100,4448.9296875,267.59932019999997,0.7510690800000001,6.5,175,131,131,156,,"{""type"":""Polygon"",""coordinates"":[[[-118.14211939689099,34.1485490304146],[-118.142118611763,34.148437056063095],[-118.14211866656,34.148410951144804],[-118.142118926173,34.1484107340622],[-118.14218655673798,34.1483547044376],[-118.14218513650097,34.1482585307931],[-118.142183345261,34.14807994864471],[-118.142182429878,34.147988555731985],[-118.14218208312799,34.1479013111043],[-118.142181384239,34.1477233868881],[-118.14245239607799,34.1477217765981],[-118.14245224785599,34.1477121587204],[-118.14245210143098,34.147703915461705],[-118.14245117257298,34.1476434358787],[-118.142451059385,34.147635192613194],[-118.14244950350299,34.147536958074205],[-118.142830308335,34.147534805068595],[-118.14283191272597,34.1477196250841],[-118.14283343896399,34.1478968608847],[-118.14283463551999,34.14803377602941],[-118.14283449089099,34.148033942559316],[-118.14283237984998,34.1480361267765],[-118.14283001189098,34.1480381214173],[-118.1428265947,34.1480414349148],[-118.142823852143,34.148045155815396],[-118.142821853392,34.1480491911896],[-118.142820647853,34.1480534391864],[-118.142820266069,34.1480577920076],[-118.142820415189,34.1480761266382],[-118.14282152011701,34.14821111971249],[-118.142822055513,34.148215461374],[-118.14282341107001,34.148219678138204],[-118.14282555175599,34.1482236629504],[-118.14282842546599,34.148227315446995],[-118.14283195764199,34.1482305434421],[-118.14283425822799,34.148232589375304],[-118.14283629650498,34.1482348181935],[-118.142836461795,34.148254053085196],[-118.142838089542,34.1484326906231],[-118.14283983945998,34.148625039636194],[-118.14284113752596,34.14876586627471],[-118.142205440224,34.14876966594699],[-118.142121161182,34.14877023244091],[-118.142119830777,34.14862940506629],[-118.14211939689099,34.1485490304146]]]}"
Feature,5,5,38908,5723-025-016,75 N MARENGO AVE  PASADENA CA  91101,CD-2,2.3824500999999993,CD-2,87,14112.56640625,493.14886491000004,130,309,87,COMM,99,4645.773437499999,282.26926893999996,0.7843269599999999,6.5,175,137,137,156,,"{""type"":""Polygon"",""coordinates"":[[[-118.14756394569102,34.146867838317796],[-118.147561533714,34.1475327457366],[-118.14690473229099,34.14752668074309],[-118.14615448272201,34.14752555665999],[-118.146146572157,34.14752501171749],[-118.146138868205,34.147523423726994],[-118.14613156669898,34.14752083432101],[-118.14612485628399,34.1475173096658],[-118.146118909436,34.14751293897422],[-118.146113877074,34.147507835249094],[-118.146109888554,34.1475021293361],[-118.146107047183,34.1474959669496],[-118.146105424826,34.14748950644269],[-118.146105063703,34.14748291434609],[-118.14611026854202,34.14735922638571],[-118.14611897321701,34.1471586757849],[-118.14612928048601,34.146924388597704],[-118.14612969371102,34.146917830655504],[-118.146131350205,34.146911409507],[-118.146134207746,34.1469052879671],[-118.14613819357098,34.14689961844219],[-118.146143207966,34.146894545161494],[-118.146149125169,34.146890195254095],[-118.14615579516001,34.14688667800699],[-118.14616304995401,34.14688408263389],[-118.14617070719399,34.14688247381489],[-118.14617857463898,34.146881893182794],[-118.14756394569102,34.146867838317796]]]}"
Feature,6,6,5942,5723-013-020,150 N EL MOLINO AVE  PASADENA CA  91101,CD-3,0.6372280100000002,CD-3,60,3774.76953125,255.61000261999996,90,57,60,COMM,98,1387.6796875,152.32775165,0.23426555000000002,6.5,175,40,40,108,,"{""type"":""Polygon"",""coordinates"":[[[-118.13610106537301,34.148700163363195],[-118.136098725261,34.148541503906294],[-118.13609820872999,34.14850850293971],[-118.13609693761398,34.148357371135106],[-118.136153090404,34.1483567860526],[-118.13683075789498,34.14835239384481],[-118.13683257967799,34.14853649911981],[-118.13683409693299,34.1486958737667],[-118.13615725229899,34.1487004852687],[-118.13610106537301,34.148700163363195]]]}"
Feature,7,7,135,,150 N MADISON AVE PASADENA CA 91101,CD-3,2.27155995,CD-3,87,13456.164062500002,542.9767602300001,130,295,87,COMM,100,7530.44140625,414.55815056999995,1.27128093,6.5,175,222,222,156,,"{""type"":""Polygon"",""coordinates"":[[[-118.13830776968199,34.149111725713],[-118.13701308984602,34.14909232894931],[-118.13702309618,34.14863314601371],[-118.13769753692299,34.1486350670407],[-118.137685786959,34.1481672585102],[-118.13831335360898,34.148151633722705],[-118.13830776968199,34.149111725713]]]}"
Feature,8,8,38008,5734-036-009,500 E COLORADO BLVD  PASADENA CA  91101,CD-4,1.58985996,CD-4,87,9417.15234375,442.04723316,130,206,87,COMM,99,2394.5234375000005,206.38198914000003,0.40427888000000006,6.5,175,70,70,156,,"{""type"":""Polygon"",""coordinates"":[[[-118.140583734099,34.14466874168359],[-118.14058378171002,34.14467480985609],[-118.140534139011,34.14467555927019],[-118.140536095541,34.144915281470006],[-118.1405363839,34.14494965701819],[-118.14053787150999,34.145145990741504],[-118.140536907618,34.1451504195456],[-118.14053508583501,34.1451546587667],[-118.14053245556799,34.145158592424714],[-118.140529087784,34.14516211643491],[-118.14052507321301,34.1451651356342],[-118.14052051875399,34.1451675689853],[-118.14051554747701,34.1451693510638],[-118.140510293231,34.1451704335444],[-118.14050489615299,34.1451707874323],[-118.14037270007599,34.145171957641395],[-118.140373099826,34.145213175162496],[-118.14037805134,34.14572152590971],[-118.139855835512,34.14572413693111],[-118.13984935686298,34.144953366159605],[-118.13984812796699,34.1447720083586],[-118.13984823935799,34.14471979847911],[-118.13984883763597,34.1447127935427],[-118.13985085704898,34.1447059744723],[-118.13985424010501,34.14469953977329],[-118.13985888708999,34.14469367531228],[-118.13986466325701,34.14468855134328],[-118.13987140241798,34.14468431730309],[-118.13987890784199,34.14468109586379],[-118.139886961239,34.144678979958705],[-118.139895330842,34.1446780312957],[-118.14041845845999,34.1446712419611],[-118.140583734099,34.14466874168359]]]}"
Feature,9,9,38020,5734-012-006,550 E GREEN ST  PASADENA CA  91101,CD-4,2.0098500299999995,CD-4,60,11904.558593749998,495.81936613000005,90,180,60,COMM,100,6720.042968750001,363.2273170099999,1.1346027,6.5,175,198,180,108,,"{""type"":""Polygon"",""coordinates"":[[[-118.13880829568699,34.144235997785],[-118.13887439282698,34.1442356193586],[-118.13887421046897,34.14420539282871],[-118.13887316662698,34.14405437153759],[-118.138443035302,34.14405670529559],[-118.138440619732,34.14387534854371],[-118.13843939442998,34.143693990659],[-118.138439457312,34.1436720075883],[-118.13910043141,34.143668391325],[-118.13926567471002,34.143667486515795],[-118.13943091800999,34.143666581706384],[-118.13960607691399,34.143665637492894],[-118.139609627954,34.1440503352292],[-118.13961128534602,34.14423169309239],[-118.13961286548299,34.14438463593359],[-118.139613339793,34.144413023058],[-118.139614058445,34.14445086709019],[-118.139613808714,34.14445753079639],[-118.13961226720501,34.14446407480369],[-118.139609473444,34.144470325140496],[-118.139605500196,34.14447611824399],[-118.13960045345999,34.144481300216384],[-118.13959446439202,34.144485735746585],[-118.139587691993,34.144489308110295],[-118.13958031412999,34.1444919228871],[-118.13957252483799,34.144493510934595],[-118.139564528934,34.144494031362186],[-118.13905888612499,34.144501072003095],[-118.13881102207398,34.144504543997996],[-118.138810024045,34.144417434057296],[-118.13880963058298,34.14438308951819],[-118.13880829568699,34.144235997785]]]}"
Feature,10,10,7171,5737-002-014,130 N HILL AVE  PASADENA CA  91106,CG,0.7592570200000001,CG,32,4497.593749999999,268.35250041,64,48,0,COMM,100,2537.4140625000005,208.23067056999997,0.42836973000000006,4,100,42,42,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.12062986902001,34.148387037117395],[-118.120628645514,34.1482496170094],[-118.12063433634098,34.1479326076055],[-118.12124396004302,34.1479081447856],[-118.121239880793,34.1482451861375],[-118.12124150854,34.148410084301304],[-118.12063010707298,34.1484145159081],[-118.12062986902001,34.148387037117395]]]}"
Feature,11,11,7667,5738-015-085,220 N MICHIGAN AVE  PASADENA CA  91106,CG,0.32376400000000005,CG,32,1917.94921875,180.02053744000003,64,20,0,COMM,99,895.2265625,143.11167931999998,0.15112618000000003,4,100,15,15,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.12489739931999,34.149781343629904],[-118.12539214107298,34.1497780829835],[-118.12540107391997,34.150036999913496],[-118.124901243211,34.15003751733319],[-118.12489739931999,34.149781343629904]]]}"
Feature,12,12,38045,5741-002-032,1474 E WASHINGTON BLVD  PASADENA CA  91104,CG,1.4008300299999998,CG,32,8302.144531250002,370.67834269,64,89,0,COMM,100,3923.25,374.06153330999996,0.6620117300000001,4,100,66,66,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.11923316931401,34.16842431207311],[-118.119729177692,34.16842003016791],[-118.120226800341,34.16842600892951],[-118.12022644101502,34.16855313852832],[-118.12023015824398,34.16897699414291],[-118.12003177429699,34.16897870213691],[-118.11983342268898,34.1689804376312],[-118.119635070182,34.16898214562511],[-118.119436686235,34.16898385287581],[-118.11923836696599,34.1689855601265],[-118.1192344566,34.16856170455491],[-118.11923316931401,34.16842431207311]]]}"
Feature,13,13,13130,5727-015-007,1478 LINCOLN AVE  PASADENA CA  91103,CG-1,0.75028402,CG-1,32,4446.95703125,264.07555992999994,64,48,0,COMM,100,4446.95703125,264.07555992999994,0.75032198,4,100,75,48,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.15889523180199,34.172106819567404],[-118.15874243376197,34.1717396827891],[-118.15894663879298,34.171649595322386],[-118.15946555690499,34.171722472598],[-118.15946683790298,34.171891465434186],[-118.159483678619,34.1721776042721],[-118.15889523180199,34.172106819567404]]]}"
Feature,14,14,13190,5727-015-009,1450 LINCOLN AVE  PASADENA CA  91103,CG-1,0.24716100000000002,CG-1,32,1464.91015625,177.92029765000004,64,15,0,COMM,101,1464.91015625,177.92029765000004,0.24717391,4,100,24,15,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.158883284209,34.171121921983705],[-118.15946167618299,34.1711962601676],[-118.159462983232,34.171361130609704],[-118.15885317447699,34.171282602228594],[-118.158883284209,34.171121921983705]]]}"
Feature,15,15,13206,5727-016-026,1180 LINCOLN AVE  PASADENA CA  91103,CG-1,0.7252730100000001,CG-1,32,4298.156250000001,278.84368965000004,64,46,0,COMM,100,4075.82421875,361.56660759,0.68778694,4,100,68,46,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.15900662289799,34.166827355199196],[-118.15900627525,34.16678333419951],[-118.159006062349,34.16675860405911],[-118.15900553503799,34.166689990368596],[-118.15900494664099,34.16662395949639],[-118.15900487567399,34.16662121161559],[-118.159004348363,34.1665526253144],[-118.15900378781501,34.1664838471928],[-118.15900365216899,34.16646458449229],[-118.159003227266,34.166415260780106],[-118.159002666717,34.166346482546494],[-118.15900232356097,34.166305209930606],[-118.15900210616797,34.1662777310149],[-118.15900151238198,34.1662091176767],[-118.15900098776599,34.166141657849195],[-118.15941904213899,34.166195899984714],[-118.159420559394,34.1662632207761],[-118.15942095465299,34.1663319173172],[-118.15942191225699,34.1664006130591],[-118.15942244046599,34.166469336246195],[-118.15942329835701,34.166538005118404],[-118.159423454664,34.16660674454571],[-118.15942382477,34.166675397697496],[-118.159424414963,34.1667440797809],[-118.15942521087099,34.1668127893095],[-118.15942590437001,34.16688148540339],[-118.15900662289799,34.166827355199196]]]}"
Feature,16,16,26780,5825-004-026,2050 LINCOLN AVE  PASADENA CA  91103,CG-1,0.19111501,CG-1,32,1132.98828125,147.24770420999997,64,12,0,COMM,99,1132.98828125,147.24770420999997,0.19112539,4,100,19,12,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.15954386394701,34.181082233771996],[-118.15907931995999,34.18108364277639],[-118.15907798865699,34.18092289350191],[-118.15954252365998,34.1809173630002],[-118.15954386394701,34.181082233771996]]]}"
Feature,17,17,18822,5741-001-032,1576 E WASHINGTON BLVD  PASADENA CA  91104,CL,0.17938501,CL,32,1063.1445312499998,136.74488595999995,64,11,0,COMM,94,379.12890624999994,79.58843946,0.06397423,4,100,6,6,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.11794616738,34.16866593054521],[-118.11816088269899,34.16866423740991],[-118.11816389564801,34.168994665710294],[-118.117949014141,34.1689963870825],[-118.11794616738,34.16866593054521]]]}"
Feature,18,18,17196,5731-018-020,525 N LAKE AVE  PASADENA CA  91101,CL,0.81810898,CL,32,4847.02734375,277.27429519000003,64,52,0,COMM,100,4847.02734375,277.27429519000003,0.81814854,4,100,81,52,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.13261092993301,34.1549601504618],[-118.13278049233199,34.1549586176209],[-118.13298376760599,34.1549568008103],[-118.13318605293699,34.154955011504704],[-118.13319134670898,34.15551862158821],[-118.13298972253799,34.1555205201574],[-118.13278641222998,34.15552241947],[-118.13266576758899,34.15552354121659],[-118.13265721383098,34.15552291158151],[-118.13264891968598,34.15552106504829],[-118.13264113219097,34.1555180566263],[-118.132634085806,34.1555139762633],[-118.132627991635,34.15550894735881],[-118.132623032036,34.1555031193301],[-118.13261935702799,34.15549666761269],[-118.13261707440898,34.15548978622619],[-118.13261625424701,34.1554826795977],[-118.13261092993301,34.1549601504618]]]}"
Feature,19,19,18742,5741-001-004,1560 E WASHINGTON BLVD  PASADENA CA  91104,CL,0.21253900000000003,CL,32,1259.6289062499998,158.24982135999997,64,13,0,COMM,96,616.38671875,99.99871203,0.10400820000000001,4,100,10,10,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.11816088269899,34.16866423740991],[-118.11815999067201,34.168570727683104],[-118.11835837372097,34.1685690776548],[-118.11836228049398,34.1689930156903],[-118.11816389564801,34.168994665710294],[-118.11816088269899,34.16866423740991]]]}"
Feature,20,20,21667,5745-011-026,2063 E VILLA ST  PASADENA CA  91107,CL,0.0984125,CL,32,583.0546875,95.57654399,64,6,0,COMM,102,583.0546875,95.57654399,0.09841840999999998,4,100,9,6,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.10799058105701,34.154496156306486],[-118.10799415275798,34.15470216149209],[-118.107803073013,34.15470318363699],[-118.10780041399899,34.154538313369805],[-118.10780091705598,34.1545318184627],[-118.107802645415,34.15452547074419],[-118.107805555058,34.1545194285543],[-118.107809573222,34.154513842799105],[-118.107814600194,34.15450885323409],[-118.107820510211,34.154504584747286],[-118.107827155049,34.15450114364199],[-118.107834369419,34.1544986161505],[-118.10784197275898,34.154497064716686],[-118.107849774628,34.15449652948319],[-118.10799058105701,34.154496156306486]]]}"
Feature,21,21,21574,5745-010-053,2113 E VILLA ST  PASADENA CA  91107,CL,0.47918800000000006,CL,32,2839.0039062500005,211.47005375999996,64,30,0,COMM,100,2839.0039062500005,211.47005375999996,0.47921069000000005,4,100,47,30,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.10688987803398,34.1544993327687],[-118.10689131084699,34.1548702391094],[-118.106726937116,34.15487068662209],[-118.10656167046,34.15487110737329],[-118.10637901780999,34.1548715980019],[-118.106377441267,34.1545421291369],[-118.10637816620698,34.1545349659318],[-118.10638037516499,34.154528015332694],[-118.10638400166299,34.154521489946085],[-118.10638893610897,34.1545155860245],[-118.10639502758498,34.15451048346599],[-118.106402091937,34.1545063383803],[-118.10640991446598,34.1545032741686],[-118.106418258018,34.1545013859838],[-118.106426869269,34.1545007303228],[-118.10655934651899,34.1545003118],[-118.106724612276,34.1544998360369],[-118.10688987803398,34.1544993327687]]]}"
Feature,22,22,28237,5838-002-011,2025 N LOS ROBLES AVE  PASADENA CA  91104,CL,0.17246599000000004,CL,32,1022.421875,147.58066388999998,64,11,0,COMM,99,1022.421875,147.58066388999998,0.17247376,4,100,17,11,57,2.5,"{""type"":""Polygon"",""coordinates"":[[[-118.14184271757998,34.18055768119459],[-118.14234032046699,34.18055503557911],[-118.142340025819,34.1806924291206],[-118.141844074934,34.18069507324549],[-118.14184271757998,34.18055768119459]]]}"
